,Unnamed: 0,address,zip_code,price,sell_date,sell_type,price_per_sqm,no_rooms,housing_type,size_in_sqm,year_of_construction,price_change_in_pct,latitude,longitude,sell_year
1255328,1255328,Slåenvej 6,9000 Aalborg,320000,1992-03-31,Fam. Salg,1767.0,6.0,Villa,181.0,1969.0,0.0,57.03955600000001,9.869403,1992
1255329,1255329,Christen Kolds Vej 2,9000 Aalborg,615000,1992-03-27,Alm. Salg,,5.0,Villa,138.0,1934.0,0.0,57.038524,9.96249,1992
1255330,1255330,Eckersbergsvej 25,9000 Aalborg,515000,1992-03-23,Alm. Salg,4951.0,3.0,Rækkehus,104.0,1962.0,0.0,57.04733100000001,9.963211,1992
1255331,1255331,Magsvej 14,9000 Aalborg,520000,1992-03-23,Alm. Salg,3687.0,5.0,Villa,141.0,1928.0,0.0,57.031324,9.917411,1992
1255332,1255332,Eriksvej 15,9000 Aalborg,400000,1992-03-19,Alm. Salg,5405.0,2.0,Villa,74.0,1950.0,0.0,57.028084,9.953952,1992
1255333,1255333,"Jakob Skomager Vej 1, ST. TH",9000 Aalborg,1026000,1992-03-16,Alm. Salg,6885.0,3.0,Lejlighed,149.0,1970.0,0.0,,,1992
1255334,1255334,Schleppegrellsgade 26,9000 Aalborg,260000,1992-03-14,Alm. Salg,1529.0,6.0,Rækkehus,170.0,1920.0,0.0,57.051762,9.901123,1992
1255335,1255335,Ny Kærvej 7,9000 Aalborg,664300,1992-11-03,Alm. Salg,4848.0,5.0,Villa,137.0,1939.0,0.0,57.0331,9.915587,1992
1255336,1255336,"Provstejorden 4, 2. TH",9000 Aalborg,460857,1992-11-03,Alm. Salg,5358.0,3.0,Lejlighed,86.0,1954.0,0.0,,,1992
1255337,1255337,Nørholmsvej 191,9000 Aalborg,425000,1992-10-03,Alm. Salg,,3.0,Stuehus,99.0,1902.0,0.0,57.03182,9.80859,1992
1255338,1255338,Mispelvej 40,9000 Aalborg,760000,1992-09-03,Alm. Salg,3551.0,6.0,Villa,214.0,1968.0,0.0,57.043686,9.866796,1992
